Team,Tournament,Goals,Shot pg,Discipline,Possession%,Pass%,Rating
Paris Saint-Germain,Ligue 1,25,17.7,16/0,60.1,90.3,7.10
Bayern Mynich,Bundesliga,19,23.7,10/0,67.8,87.9,7.08
Barcelona,LaLiga,15,18.8,10/1,63.7,87.2,7.05
Manchester City,Premier League,20,17,4/0,72.2,90.7,7.03
Real Madrid,LaLiga,15,21.6,6/0,59.3,90.4,6.92
Napoli,Serie A,13,21,9/0,61.1,87.7,6.88
Tottenham,Premier League,9,14.4,10/0,53.3,85.6,6.88
LiverpoolPremier League,15,19.9,5/1,68.8,83.5,6.84
Union Berlin,Bundesliga,13,11.3,6/0,39.1,69.9,7.6.84
Arsenal,Premier League,14,17.2,11/0,56.7,85.0,6.82
Real Beris,LaLiga,8,11.2,13/1,55.6,85.6,6.82
Newcastle,Premier League,7,14,12/0,46.0,75.8,6.81
Freiburg,Bundesliga,10,15.8,8/0,44.0,75.8,6.81
Lyon,Ligue 1,16,16.6,9/1,65.9,87.0,6.80
Lorient,Ligue 1,14,12.3,10/0,41.2,81.2,6.76
